Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,classe,qtd_usuarios,tem_redis,linguagem_api,cenario
GET,api-py-redis,15357,0,130,424.7257986528681,10.242936999929952,5348.039352999876,89715.91619456925,258.7050065685249,0.0,130,210,330,540,1400,2000,2700,3000,3500,5200,5300,leve,150,True,Python,api-py-redis
GET,api-py-sem-redis,76,30,24000,25689.333193065813,6603.675929999554,49822.928736,96948.94736842104,1.2980403236711704,0.5123843382912515,25000,34000,37000,38000,42000,46000,48000,50000,50000,50000,50000,leve,150,False,Python,api-py-sem-redis
GET,api-ruby-redis,300,0,16,23.933347869982143,4.789730999618769,83.5090839991608,135190.66666666666,15.661436190004832,0.0,17,26,34,37,51,59,72,79,84,84,84,leve,150,True,Ruby,api-ruby-redis
GET,api-ruby-sem-redis,490,1,3100,5002.758317575499,275.94774099998176,29871.09748399962,108688.5775510204,11.404011215833863,0.0232734922772119,3100,4100,5100,6600,13000,18000,21000,22000,30000,30000,30000,leve,150,False,Ruby,api-ruby-sem-redis
GET,api-py-redis,18825,0,110,426.4395995740207,8.25548900047579,4832.516670000587,89989.80387782205,318.8842059370289,0.0,110,130,180,290,1400,2600,3600,4000,4600,4800,4800,médio,250,True,Python,api-py-redis
GET,api-py-sem-redis,127,48,22000,22407.214875149577,1916.4142520003224,45551.901046999774,84593.23622047243,2.1660113425418057,0.8186499562362729,22000,26000,33000,37000,40000,42000,43000,43000,46000,46000,46000,médio,250,False,Python,api-py-sem-redis
GET,api-ruby-redis,300,0,15,20.96770796996073,6.030702999851201,103.51678099959828,135190.66666666666,15.723742643806805,0.0,15,21,24,28,42,57,81,88,100,100,100,médio,250,True,Ruby,api-ruby-redis
GET,api-ruby-sem-redis,300,25,2200,5377.78906457334,300.2239540001028,22671.00250400017,147058.28666666665,7.925039173573176,0.660419931131098,2300,3400,9100,12000,15000,18000,20000,21000,23000,23000,23000,médio,250,False,Ruby,api-ruby-sem-redis
GET,api-py-redis,18868,0,100,421.7574131093901,9.133882999776688,5660.744402000091,89785.58766164935,319.2644793436845,0.0,100,120,130,150,1100,3100,4400,4800,5400,5700,5700,pesado,350,True,Python,api-py-redis
GET,api-py-sem-redis,111,43,26000,25662.88017463964,2143.083084999489,44386.994479999885,93389.2162162162,1.885957943918419,0.7305963206170453,26000,33000,35000,37000,40000,42000,43000,44000,44000,44000,44000,pesado,350,False,Python,api-py-sem-redis
GET,api-ruby-redis,300,0,32,246.46187410002017,5.620670999633148,2921.359203000065,135190.66666666666,15.625856242806073,0.0,32,50,80,130,830,1900,2600,2900,2900,2900,2900,pesado,350,True,Ruby,api-ruby-redis
GET,api-ruby-sem-redis,532,3,3200,5892.434015900388,283.00137299993366,39947.8510859999,119070.1052631579,10.471375587485388,0.0590491104557446,3200,4400,6000,7400,18000,23000,28000,32000,40000,40000,40000,pesado,350,False,Ruby,api-ruby-sem-redis
